"review-details_overallRating__VDxCx","timestamp_reviewDate__wvu2v","review-details_detailsLink__NxIv5","review-details_detailsLink__NxIv5 href","review-details_employee__5iA6v","review-details_employeeDetails__BvAwX","review-details_isExpanded__bLJng","review-details_isExpanded__bLJng 2","review-details_location__E_Ine","review-details_isCollapsed__Bsg_9","review-details_isCollapsed__Bsg_9 2","expand-button_ExpandButton__FlBlZ","review-details_responseLogo__9tv_M src","review-details_employerName__MLS_I","review-details_employerDate__XHTEv","review-details_isCollapsed__Bsg_9 3","expand-button_ExpandButton__FlBlZ 2"
"3.0","15 Jul 2018","Management Trainee","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW21485633.htm","Anonymous employee","Former employee","Good training and mentoring by seniors","Slow growth and career path","","","","","","","","",""
"4.0","29 Jan 2019","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW24432170.htm","Anonymous employee","Current employee","work nd personal life balance","less growth opportunities nd less salaries","","","","","","","","",""
"4.0","10 Jul 2019","Good Experice","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW27901193.htm","Anonymous employee","Current employee","Team Work, Work Environment","i don't think there is anything","","","","","","","","",""
"4.0","2 Oct 2019","Executive operations","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW29571817.htm","Operations executive","Current employee, more than 1 year","Good work environment, flexible work","Lesser growth opportunity, low growth","Noida","","","","","","","",""
"4.0","20 Oct 2019","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW29921548.htm","Anonymous employee","Former employee, less than 1 year","On time payment, healthy work culture","High pressure, outdated customer data","","","","","","","","",""
"4.0","4 Mar 2020","Jj","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW32217852.htm","Anonymous employee","Former employee","Nice place to work in Lucknow","Nothing to say all good","","","","","","","","",""
"4.0","7 Jul 2020","Good organization","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW34101933.htm","Senior executive","Former employee, more than 1 year","Well established brand, job security","Long working hours, few offs","Noida","","","","","","","",""
"5.0","29 Aug 2020","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW35413776.htm","Executive","Current employee","amazing, great environment for working","target based jobs, sometimes tiring","Noida","","","","","","","",""
"4.0","9 Sept 2020",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW35762767.htm","Lead engineer","Current employee, more than 5 years","","","Noida","Work culture
Approachable team
Work life balance","Less opportunities
Less adoption of new technologies","Show more","","","","",""
"4.0","15 Sept 2020","Business Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW36006551.htm","Business manager","Current employee, more than 8 years","Solid financials, large stable company.","Very old school managment approach.","New Delhi","","","","","","","",""
"3.0","27 Sept 2020","OK-ish","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW36432887.htm","Senior software engineer","Current employee, less than 1 year","Chilled out environment and people","Perks could be better than other companies","","","","","","","","",""
"4.0","28 Sept 2020","Manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW36440617.htm","Sdm manager","Current employee","Good work life balance, culture","Difficulty in commuting to work location","Noida","","","","","","","",""
"4.0","13 Oct 2020","Colleagues","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW37096301.htm","International sales","Current employee, more than 8 years","Best people to be with","Gossip a lot, need to change","New Delhi","","","","","","","",""
"4.0","11 Dec 2020","Good guys","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW39360701.htm","Sales manager","Former employee, more than 1 year","fast growth in the company","politics all over the place","Noida","","","","","","","",""
"3.0","15 Mar 2021","good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW44022802.htm","Software developer","Current employee","work life , people, job security","no learning, politics, food, cantine","Noida","","","","","","","",""
"4.0","12 Apr 2021","salary","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW45367125.htm","Assistant manager","Former employee, more than 3 years","Salary coming on time no delay","Sometime small deduction under section","Noida","","","","","","","",""
"3.0","17 Apr 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW45649228.htm","Senior executive - human resources","Former employee, more than 1 year","Stability is there in info edge.","No career growth you will get.","Noida","","","","","","","",""
"4.0","25 May 2021","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW47414268.htm","Vba developer","Current employee, more than 1 year","Work life balance, good learning","cafeteria service is not satisfying","Noida","","","","","","","",""
"4.0","27 May 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW47548961.htm","Senior executive corporate sales","Current employee","Less pressure and achievable targets","A lot depends on your territory","Noida","","","","","","","",""
"4.0","19 Jun 2021","Company Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW48562979.htm","Sales representative","Current employee","Good Organization to work with","Work life balance not there","","","","","","","","",""
"3.0","22 Jul 2021","okok","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW50120994.htm","Deputy manager","Current employee","","","","Healthy environment, supportive, 5.5 days a week","Very hectic, too much pressure","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for taking the time to provide feedback. As a fast-paced organisation, the momentum with which things move might sometimes translate into a lot of work pressure. In the light of the same, we deliberately run engagement initiatives allowing employees to unplug and let their hair down. However, we feel there is scope to do a lot more and have the employees enjoy their stay while they work towards creating some great success stories. Wishing you all the very best and thanking you once again for writing in.

Regards,
Team InfoEdge","Show more"
"5.0","28 Aug 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW51771546.htm","Operations","Current employee","","","Noida","Company policies are very good","Too much pressure to handle","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for taking the time to provide feedback. As a fast paced organisation, the momentum with which things move might sometimes translate into a lot of work pressure. In the light of the same, we deliberately run engagement initiatives allowing employees to unplug and let their hair down. However, we feel there is scope to do a lot more and have the employees enjoy their stay while they work towards creating some great success stories. Wishing you all the very best and thanking you once again for writing in.

Regards,
Team Info Edge","Show more"
"3.0","17 Sept 2021","good Learning","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52730769.htm","Senior software engineer","Current employee, more than 3 years","","","Noida","good infrastructure, env is good","work pressure, bugy code, legacy issues","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. As a fast paced organisation, the momentum with which things move might sometimes translate into a lot of work pressure. In the light of the same, we deliberately run engagement initiatives allowing employees to unplug and let their hair down. However, we feel there is scope to do a lot more and have the employees enjoy their stay while they work towards creating some great success stories. Wishing you all the very best and thanking you once again for writing in.

Regards,
Team Info Edge","Show more"
"3.0","21 Sept 2021","Less Growth Opportunities","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52864286.htm","Deputy manager corporate sales","Current employee, more than 3 years","","","Cochin","*Incentives
*professional approach
*Salary on Time
*Culture
*Senior Management","*work life balance
*compensation
*Unrealistic target
*Increments
*Promotion
*Product performance","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. As a fast-paced organisation, the momentum with which things move might sometimes translate into a lot of work pressure. In the light of the same, we deliberately run engagement initiatives allowing employees to unplug and let their hair down. However, we feel there is scope to do a lot more and have the employees enjoy their stay while they work towards creating some great success stories. 

Regarding your other concern, we are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately. If you would like to discuss the issue more extensively in this regard, please feel free to email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"3.0","1 Oct 2021","Nice company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW53375234.htm","Software engineer","Former employee, more than 1 year","","","","Nice company culture to work","Not enough leaves given to employees","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide your feedback. Reference your review, we have extensively evaluated the leave policy in comparison to other employers and validated that our leave policy showcases our employee centric approach. We keep revisiting our internal frameworks from time to time and make suitable adjustments to the policy. In case you would like to provide further feedback, please email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"4.0","25 Oct 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW54441644.htm","Associate senior executive","Current employee","","","","Good for me as if now","Nothing as such so far","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for sharing your feedback.

Regards,
Team Info Edge","Show more"
"4.0","28 Oct 2021",".","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW54610598.htm","Anonymous employee","Current employee, more than 1 year","","","","Established brand name
Stable organisation
Great learning opportunities","Lower Salary Ranges
Slow growth internally","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide your feedback. We are constantly evaluating our benefits and compensation packages and comparing them to our competitors in the area to ensure that our employees get remunerated appropriately. If you would like to discuss the issue more extensively in this regard, please feel free to email us at anchal.kandpal@infoedge.com.

Regarding your other concern, we will internally connect with the respective leaders to explore opportunities & resolve this. If you would like to provide any further feedback or suggest ways that we could assist you, please email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"4.0","3 Nov 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW54846869.htm","Senior software engineer","Current employee, more than 3 years","","","Bangalore Rural","Overall good for career and growth.","Nothing as such. Overall good.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for sharing the review.

Regards,
Team Info Edge","Show more"
"3.0","7 Dec 2021","Not Great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW56353941.htm","Anonymous employee","Former employee","","","","They gave the salary on time?!","Poor Managament and Leader ship.","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. Reference your concern, we are pleased to share that it is a constant endeavour to maintain transparency on all fronts at Infoedge. If you would like to provide any further feedback or suggest ways that we could help you, please email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"3.0","16 Dec 2021","Decent","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW56781898.htm","Lead engineer","Current employee, more than 3 years","","","New Delhi","Work life balance is great","Pace is slow. Possibility of politics","Show more","","","","",""
"4.0","7 Jun 2012","enlightened","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW1567773.htm","Anonymous employee","Current employee","hmm still has free services","buyer be-aware of the services","Bengaluru","","","","","","","",""
"3.0","28 Dec 2015","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW9015545.htm","Anonymous employee","Current employee, more than 1 year","","","","Nice company to start with","No growth for career development","Show more","","","","",""
"3.0","20 Aug 2016","Good Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW11624996.htm","Software test engineer","Current employee, more than 3 years","Good Company to work with","Nothing to mention here ..","Noida","","","","","","","",""
"3.0","28 Sept 2016","Quality Analyst","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW12100525.htm","Quality analyst","Current employee, more than 1 year","A healthy environment, Flexible working hours","Nothing new to learn","Greater Noida","","","","","","","",""
"3.0","3 Jul 2017","GOOD","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15738836.htm","Anonymous employee","Former employee","it has a good name","Lots of work pressure at work","","","","","","","","",""
"4.0","4 Jun 2019","company's review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW26469806.htm","Anonymous employee","Former employee","good working environment for employees","little less growth opportunities","","","","","","","","",""
"4.0","30 Jul 2019","Great!","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW28329614.htm","Software development engineer","Former employee","Great work culture at InfoEdge","Pay could have been better.","Noida","","","","","","","",""
"3.0","24 Jan 2020","Work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW31478958.htm","Corporate tax intern","Current employee, more than 5 years","","","Noida","Work culture 
Work life balance
Cabs","No growth opportunities 
No learning","Show more","","","","",""
"3.0","20 Jan 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW41135058.htm","Senior software engineer","Current employee, more than 1 year","Good salary, good office, nice ppl","None I can think of","New Delhi","","","","","","","",""
"3.0","22 Jan 2021","sse","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW41233356.htm","Anonymous employee","Current employee","learning culture is a plus point","work-life balance is not good","","","","","","","","",""
"4.0","19 Feb 2021","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW42792641.htm","Assistant manager","Current employee","Good better good good good","None none none none none","","","","","","","","",""
"3.0","24 Feb 2021","aa","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW43065864.htm","Anonymous employee","Former employee","a good company to work for","Less salary and more work","","","","","","","","",""
"4.0","4 Mar 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW43449599.htm","Business manager","Current employee, more than 5 years","Work life balance, job security","Slow growth within the system","Mumbai","","","","","","","",""
"3.0","30 Apr 2021","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW46307624.htm","Anonymous employee","Former employee","","","","1. Nice for work
2. good learning","No cons about this company","Show more","","","","",""
"3.0","3 May 2021","Nice","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW46411169.htm","Matketing","Current employee","Good company with good service","Bad salary when you are starting","","","","","","","","",""
"2.0","9 May 2021","Area manager","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW46697636.htm","Asm (area sales manager)","Former employee","","","Mumbai","Get salary on time that's","None ,good company to work","Show more","","","","",""
"3.0","1 Jun 2021","Good place","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW47744297.htm","Sales/managerial","Current employee","Good place to work at","Nothing is really bad here","Mumbai","","","","","","","",""
"3.0","9 Jul 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW49541905.htm","Sales associate","Former employee","","","","Incentive Free Environment Manager Support","Cool Streach Time Sales Work","Show more","","","","",""
"3.0","1 Sept 2021","Ok","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW51951111.htm","Senior associate","Current employee","","","","Good and helpful good exposure","It depends on person to person","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for taking out time and ​sharing a review.

Regards,
Team Info Edge","Show more"
"4.0","4 Oct 2021","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW53476959.htm","Senior software engineer","Former employee, more than 1 year","","","Noida","Good for learning new things","Worklife balance is not good","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for taking the time to provide feedback. As a fast paced organisation, the momentum with which things move might sometimes translate into a lot of work pressure. In the light of the same, we deliberately run engagement initiatives allowing employees to unplug and let their hair down. However, we feel there is scope to do a lot more and have the employees enjoy their stay while they work towards creating some great success stories. Wishing you all the very best and thanking you once again for writing in.

Regards,
Team Info Edge","Show more"
"3.0","14 Oct 2021","Udjdnf","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW53985046.htm","Anonymous employee","Former employee","","","","Best company to enhance your skills","Nothing specific. Everything is good","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","3y","Thank you for the review

Regards,
Team Info Edge","Show more"
"3.0","1 Sept 2020","SSE","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW35508991.htm","Senior software developer","Current employee","","","Noida","work life balance, decent infrastructure","oudated code base,
less hikes
Incompetent environment","Show more","","","","",""
"1.0","31 May 2016","Very Bad","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW10776176.htm","Business analyst","Former employee, more than 1 year","","","Noida","Extremely flexible
- Understanding management
- Free lunches
- Laptop for work
- Above industry pay hikes
- Good bonuses","Relatively new set-up. Will take time to reach full potential
- More into reporting, less into analytics
- Less emphasis on L&D","Show more","","","","",""
"1.0","7 Dec 2012","Naukri.com","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW2188570.htm","Software developer","Former employee, more than 1 year","","","Bengaluru","The goal of the company to mint money","everything is wrong with this company. Customer care are after targets of selling more paid services.","Show more","","","","",""
"1.0","20 Dec 2019","Content writer","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW30956572.htm","Customer service","Former employee","","","Noida","It's a good company to start; if you are not so ambitious. It's good for you.","No growth it hurts to see the partiality.","Show more","","","","",""
"1.0","8 Feb 2020","Not a tech brand to work with anymore","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW31754187.htm","Software engineer","Current employee, more than 5 years","","","Noida","I don't find any reason to work with this company any more","* Lot of micro management
* No work life balance
* Limited number of leaves
* No predefined roles","Show more","","","","",""
"1.0","10 Feb 2021","not a good company to work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW42275416.htm","Bdm sales","Former employee, more than 1 year","","","Noida","nothing good, bad bad bad","not good pay, poor work life balance, managers are too stubborn and uptight and think of themselves like they own you","Show more","","","","",""
"1.0","24 Aug 2014","Naukri not so good for software developers","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW4839088.htm","Software engineer","Current employee, less than 1 year","","","Noida","Chill place.  good sex ratio.","No good technical work. 
Top engineer manager sucks.","Show more","","","","",""
"1.0","25 Aug 2018","Worst organization to even work with","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW22154638.htm","Anonymous employee","Current employee","","","","There is not even a single good thing to enlist. Management is disastrous!","Selfish people and false committments","Show more","","","","",""
"1.0","23 Jul 2019","Pathetic company to work in","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW28195455.htm","Anonymous employee","Current employee, more than 5 years","","","Noida","There are no good things about this company","Low pay,  no growth too much politics","Show more","","","","",""
"1.0","30 Mar 2021","Not worth your time and efforts","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW44770195.htm","Senior executive","Former employee, more than 1 year","","","Greater Noida","Not any that I can recollect","Salary is not per se the work they get from you.","Show more","","","","",""
"1.0","28 Dec 2020","Unstructured , unprofessional","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW39884683.htm","Key account manager","Former employee, more than 3 years","","","Hyderābād","I don't feel they have any pro",". No hike for promotion ,","Show more","","","","",""
"1.0","23 Jan 2021","Toxic work environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW41306865.htm","Team lead","Former employee, more than 1 year","None, none , none none and none","Hell on earth toxic environment, call center feeling and extremely sick management","Noida","","","","","","","",""
"1.0","8 Mar 2021","No Career Growth","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW43689051.htm","Software engineer","Current employee","","","New Delhi","1) Salary on time only.","1)Full of Politics.
2)Toxic work environment.
3) Less pay and does not have career growth.","Show more","","","","",""
"1.0","2 Dec 2018","use less company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW23661423.htm","Software enginnner","Current employee, more than 8 years","","","Noida","I did not find any pros","salary , growth opportunity, politics in company","Show more","","","","",""
"1.0","3 Nov 2019","Data Scientist","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW30174296.htm","Anonymous employee","Former employee","","","","Not much  accept Flexible timing","poor poor people management and poor salary","Show more","","","","",""
"1.0","4 Jul 2017","Review","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW15745797.htm","Anonymous employee","Current employee","gives salary on time, this is the only good thing","No work culture as well as management","","","","","","","","",""
"1.0","10 Aug 2020","To much pressure in current situation","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW34752189.htm","Anonymous employee","Current employee","Good incentives , salary come timely","Micro management, less learning opportunity","","","","","","","","",""
"1.0","20 Mar 2021","Cons","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW44306734.htm","Anonymous employee","Former employee","Nothing is nice there in the company","work culture of the company is not nice","","","","","","","","",""
"1.0","19 Oct 2020","Nothing","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW37361172.htm","Area manager","Former employee, more than 5 years","Work life balance Is the only pro","Nothing apart from work life balance","Chennai","","","","","","","",""
"1.0","9 Sept 2021","Sales","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW52333669.htm","Sales associate","Former employee, more than 1 year","","","","Good incentives percentage on task","No work life balance for sales people","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","4y","Thank you for taking the time to provide feedback. In our earnest endeavours to serve our customers and in the true intrapreneurial spirit of Info Edge, a few associates & teams stretch beyond working hours to meet the service commitments. At the same time, initiatives are planned to enable employees to effectively planning their deliverables while continuing to focus on their health and well-being alongside work. In case you would like to provide any further feedback or suggest ways that could aid in implementing a better work/life balance; please email us at anchal.kandpal@infoedge.com.

Regards,
Team Info Edge","Show more"
"1.0","24 May 2021","Not recommended","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW47358327.htm","Team leader","Current employee, more than 5 years","On time salary thats it","everything you can think of yes.","Noida","","","","","","","",""
"1.0","21 Feb 2020","Worst Company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW31995740.htm","Qa analyst","Current employee, less than 1 year","Flexible Working Hours","Everything else apart from Working hours","Noida","","","","","","","",""
"5.0","8 Sept 2024","na","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90824900.htm","Qa engineer","Current freelancer, more than 5 years","","","","not providing, na for now","not providing, in the future","Show more","","","","",""
"5.0","1 Sept 2024","great","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW90611645.htm","Intern","Current employee","very good work environment overall","not abt cons about this place","New York, NY","","","","","","","",""
"4.0","24 Jul 2024","Overall Good Company to work for","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89444169.htm","Anonymous employee","Current employee","On time salary, good product and good commission structure.","Too much pressure, partiality from senior management.","","","","","","","","",""
"5.0","24 Jul 2024","Good company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89464696.htm","Janitor/cleaner","Current employee, more than 1 year","They were nice to me","Nothing I can truly think of","","","","","","","","",""
"4.0","11 Jul 2024","good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW89076907.htm","Marketing","Former employee","good and relax environment to work","some traveling may apply to","Loami, IL","","","","","","","",""
"5.0","20 May 2024","Good","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW87438697.htm","Electrical technician","Former employee, more than 3 years","Good working environment good salary","Long hours and only one weekly off","Abu Dhabi, Abu Dhabi","","","","","","","",""
"3.0","14 May 2024","Boring","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW87285895.htm","Engineer","Current employee","I don't know. Anything interesting?","overtime work hours.  Low morale","","","","","","","","",""
"5.0","26 Apr 2024","Lovely working environment","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW86731765.htm","Software engineer","Current intern","","","","fast-paced
Stimulating 
collaborative
receptiv
friendly","long working hours
small office","Show more","","","","",""
"3.0","25 Mar 2024","Work","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW85676276.htm","Building surveyor","Former employee, less than 1 year","","","London, England","Good place to work and learn","Very beurocratic in the processes","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","6mo","Thank you for sharing your experience at Infoedge. 

We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns. 

If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.

Thank you for helping us grow through your feedback.","Show more"
"5.0","9 Mar 2024","Good management","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW85166471.htm","Web developer","Current employee","I liked the place and don’t see disadvantages","Not sure I found few because it was great","Abu Dhabi, Abu Dhabi","","","","","","","",""
"4.0","18 Jan 2024","Good Team Environment,","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW83507174.htm","Account executive","Former employee, more than 1 year","","","Atlanta, GA","Low Salary, but uncapped commissions.","Hard to advance up the ladder.","Show more","","","","",""
"3.0","20 Jan 2024","Experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW83559455.htm","Cybersecurity","Former intern","","","","A very nice place to work","It was not a remote job","Show more","https://media.glassdoor.com/sql/337306/info-edge-squareLogo-1671695672516.png","Info Edge Response","6mo","Thank you for sharing your experience at Infoedge. 

We deeply regret that your time with us didn't meet your expectations. Your feedback is invaluable, and we take it seriously. We are committed to creating a positive workplace and would appreciate the chance to learn more about your concerns. 

If you're open to it, please connect with our HR department at kumar.prachi@Naukri.com. We're dedicated to addressing your concerns and using your insights to make meaningful improvements.

Thank you for helping us grow through your feedback.","Show more"
"5.0","9 Oct 2023","Good experience","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW80779224.htm","Amazon ppc expert","Current employee","The environment was very good","Salary delay was the main reason to quite","","","","","","","","",""
"5.0","31 Aug 2023","pros and cons","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW79651079.htm","Customer service representative (csr)","Current employee","Good culture at info edge.","Work life balance is difficult","Wilmington, DE","","","","","","","",""
"5.0","15 Aug 2023","Great company with great management","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW79170416.htm","Content manager","Former employee","Good salary, leaves and managers","WFH flexibility could be better.","","","","","","","","",""
"5.0","28 May 2023","Worked As Client Associate - Customer Service","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW76861262.htm","Sales","Former employee","","","","demonstrated excellent customer skill educating customer with available product strong interpersonal skill cash register","I've worked at the organization for a long time (number of years) and wanted to experience a different environment to help me to grow","Show more","","","","",""
"4.0","15 Jul 2023","Overall Rating","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW78275161.htm","It manager","Former employee","It was a good experience","It had few bad experiences","","","","","","","","",""
"5.0","6 Jun 2023","neutral","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW77135437.htm","Anonymous employee","Former employee","good work culture all together","none as of my exp","","","","","","","","",""
"5.0","27 Apr 2023","0o","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW75920677.htm","Regional sales manager","Current employee, more than 5 years","0kay very good company to be part","okay company for long tern not fr short","Hyderābād, Sind","","","","","","","",""
"4.0","16 Apr 2023","A well structured corporate company","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW75533353.htm","Corporate sales manager","Current employee","Good company, on time salary, top in the industry","Nothing as of now, challenging work.","Dubai","","","","","","","",""
"5.0","28 Mar 2023","Love It","https://www.glassdoor.co.in/Reviews/Employee-Review-Info-Edge-RVW74970895.htm","Csa - customer service associate","Current employee, more than 8 years","","","Lahore","Everything is a pro, trust me","Non, I love everything about them","Show more","","","","",""
